"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","74/744","475/28832",0.155789473684211,6.03726089417091,18.0163587283202,5.60448023233659e-36,1.89660770780905e-32,1.06171223136725e-32,"Adam8/Agr2/Agrn/Aif1/C3ar1/Ccl1/Ccl11/Ccl12/Ccl17/Ccl2/Ccl20/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr1/Ccr2/Ccr3/Ccr5/Ch25h/Cxcl1/Cxcl10/Cxcl11/Cxcl15/Cxcl16/Cxcl2/Cxcl3/Cxcl5/Cxcr6/Cyp7b1/Cysltr1/Dock4/Ear1/Ear10/Ear2/Ear3/Efnb2/F7/Fcer1g/Ffar2/Flt1/Fn1/Gpr35/Ifng/Il4/Itgam/Kdr/Lgals3/Lgmn/Mmp28/Notch1/Nova2/Pla2g7/Plxna4/Ptafr/Retnlg/Rnase2a/S100a14/S100a4/S1pr1/Saa3/Sema3b/Slamf8/Slamf9/Spi1/Spp1/Thbs1/Tnfaip6/Tnfsf11/Trem2/Vcam1",74
"GO:0042330","taxis","74/744","477/28832",0.155136268343816,6.01194743130227,17.964154580162,7.493511291225e-36,1.89660770780905e-32,1.06171223136725e-32,"Adam8/Agr2/Agrn/Aif1/C3ar1/Ccl1/Ccl11/Ccl12/Ccl17/Ccl2/Ccl20/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr1/Ccr2/Ccr3/Ccr5/Ch25h/Cxcl1/Cxcl10/Cxcl11/Cxcl15/Cxcl16/Cxcl2/Cxcl3/Cxcl5/Cxcr6/Cyp7b1/Cysltr1/Dock4/Ear1/Ear10/Ear2/Ear3/Efnb2/F7/Fcer1g/Ffar2/Flt1/Fn1/Gpr35/Ifng/Il4/Itgam/Kdr/Lgals3/Lgmn/Mmp28/Notch1/Nova2/Pla2g7/Plxna4/Ptafr/Retnlg/Rnase2a/S100a14/S100a4/S1pr1/Saa3/Sema3b/Slamf8/Slamf9/Spi1/Spp1/Thbs1/Tnfaip6/Tnfsf11/Trem2/Vcam1",74
"GO:0050900","leukocyte migration","65/744","408/28832",0.159313725490196,6.17383512544803,17.1299455241265,2.85539984075201e-32,4.81801133129555e-29,2.69710048115944e-29,"Adam8/Adora3/Adtrp/Aif1/Bdkrb1/C3ar1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl20/Ccl24/Ccl3/Ccl4/Ccl7/Ccl8/Ccr1/Ccr2/Ccr3/Cd200r1/Cd300a/Ch25h/Cxcl1/Cxcl10/Cxcl11/Cxcl15/Cxcl16/Cxcl2/Cxcl3/Cxcl5/Cyp7b1/Epx/F7/Fcer1g/Ffar2/Flt1/Gpr35/Ifng/Il1a/Il33/Il4/Itgam/Lgals3/Lgmn/Mcoln2/Mmp28/Pla2g7/Ptafr/Ptger4/Pycard/Retnlg/S100a14/S1pr1/Sele/Selp/Slamf8/Slamf9/Spi1/Spp1/St3gal4/Thbs1/Tnfaip6/Tnfsf11/Trem2/Vcam1",65
"GO:0060326","cell chemotaxis","59/744","337/28832",0.175074183976261,6.78459525860694,17.3843921335518,1.15420417533257e-31,1.46064538388337e-28,8.17662536840864e-29,"Adam8/Agr2/Aif1/C3ar1/Ccl1/Ccl11/Ccl12/Ccl17/Ccl2/Ccl20/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr1/Ccr2/Ccr3/Ccr5/Ch25h/Cxcl1/Cxcl10/Cxcl11/Cxcl15/Cxcl16/Cxcl2/Cxcl3/Cxcl5/Cxcr6/Cyp7b1/Dock4/F7/Fcer1g/Ffar2/Flt1/Gpr35/Ifng/Il4/Itgam/Kdr/Lgals3/Lgmn/Mmp28/Notch1/Pla2g7/Retnlg/S100a14/S1pr1/Saa3/Slamf8/Slamf9/Spi1/Spp1/Thbs1/Tnfaip6/Tnfsf11/Vcam1",59
"GO:0030595","leukocyte chemotaxis","47/744","242/28832",0.194214876033058,7.52634852928108,16.5930713550681,1.71319452399308e-27,1.73443813609059e-24,9.70930454439866e-25,"Adam8/Aif1/C3ar1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl7/Ccl8/Ccr1/Ccr2/Ccr3/Ch25h/Cxcl1/Cxcl10/Cxcl11/Cxcl15/Cxcl16/Cxcl2/Cxcl3/Cxcl5/Cyp7b1/F7/Fcer1g/Ffar2/Flt1/Gpr35/Ifng/Il4/Itgam/Lgals3/Lgmn/Mmp28/Pla2g7/Retnlg/S100a14/S1pr1/Slamf8/Slamf9/Spi1/Spp1/Thbs1/Tnfaip6/Tnfsf11",47
"GO:0097529","myeloid leukocyte migration","46/744","255/28832",0.180392156862745,6.99068100358423,15.6384562678834,1.71361262729576e-25,1.44571785322852e-22,8.09306174154417e-23,"Adam8/Aif1/C3ar1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl7/Ccl8/Ccr1/Ccr2/Ccr3/Cd200r1/Cd300a/Cxcl1/Cxcl10/Cxcl15/Cxcl2/Cxcl3/Cxcl5/Epx/Fcer1g/Flt1/Gpr35/Ifng/Il1a/Il4/Itgam/Lgals3/Lgmn/Mcoln2/Mmp28/Pla2g7/Ptger4/Retnlg/S100a14/Slamf8/Spi1/Spp1/Thbs1/Tnfaip6/Tnfsf11/Trem2",46
"GO:0002274","myeloid leukocyte activation","45/744","282/28832",0.159574468085106,6.18393960192176,14.2376182262025,1.10236765348238e-22,7.97169294561114e-20,4.46251687695423e-20,"Adgrf5/Adora2b/Adora3/Aif1/Batf/Batf3/C1qa/Ccl3/Ccr2/Cd300a/Cd300lb/Cd48/Cd84/Cplx2/Cxcl5/Dcstamp/Fcer1g/Fgr/Fn1/Gata2/Hmox1/Ifng/Ifngr2/Il10/Il13/Il13ra2/Il1rl1/Il33/Il4/Irf4/Itgam/Lcp2/Lilrb4a/Nr1d1/Ptafr/Ptgdr/Pycard/Relb/Rora/Spi1/Thbs1/Tlr4/Tmem106a/Trem2/Tyrobp",45
"GO:0071706","tumor necrosis factor superfamily cytokine production","37/744","209/28832",0.177033492822967,6.86052374337604,13.8391019962941,1.8706116175477e-20,1.18362950100331e-17,6.62590325584001e-18,"Acp5/Adam8/Akap12/Arg2/Bcl3/Ccl2/Ccl3/Ccl4/Ccr2/Ccr5/Cd14/Cd209b/Cd300ld/Cd84/Clec4a2/Clec4a3/Clec7a/Cyba/Fcer1g/Fcgr2b/Ifng/Igf1/Il10/Il1a/Il33/Il4/Il6/Lilrb4a/Ptafr/Ptger4/Pycard/Slamf9/Thbs1/Tlr4/Tmem106a/Trem2/Tyrobp",37
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","36/744","203/28832",0.177339901477833,6.87239790243127,13.6652102218389,5.8063838176574e-20,3.26576832055353e-17,1.82816201603903e-17,"Acp5/Adam8/Akap12/Arg2/Bcl3/Ccl2/Ccl3/Ccl4/Ccr2/Ccr5/Cd14/Cd209b/Cd300ld/Cd84/Clec4a2/Clec4a3/Clec7a/Cyba/Fcer1g/Fcgr2b/Ifng/Igf1/Il10/Il1a/Il33/Il4/Il6/Lilrb4a/Ptafr/Ptger4/Pycard/Thbs1/Tlr4/Tmem106a/Trem2/Tyrobp",36
"GO:0097530","granulocyte migration","33/744","169/28832",0.195266272189349,7.56709295667112,13.9351486817289,9.45935904488492e-20,4.43426142458949e-17,2.48227905653994e-17,"Adam8/C3ar1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl7/Ccl8/Ccr3/Cd300a/Cxcl1/Cxcl10/Cxcl15/Cxcl2/Cxcl3/Cxcl5/Epx/Fcer1g/Ifng/Il1a/Il4/Itgam/Lgals3/Mcoln2/Ptger4/S100a14/Slamf8/Spp1/Thbs1/Tnfaip6",33
"GO:0032640","tumor necrosis factor production","36/744","206/28832",0.174757281553398,6.77231443783276,13.5319121572312,9.63589009689538e-20,4.43426142458949e-17,2.48227905653994e-17,"Acp5/Akap12/Arg2/Bcl3/Ccl2/Ccl3/Ccl4/Ccr2/Ccr5/Cd14/Cd209b/Cd300ld/Cd84/Clec4a2/Clec4a3/Clec7a/Cyba/Fcer1g/Fcgr2b/Ifng/Igf1/Il10/Il1a/Il33/Il4/Il6/Lilrb4a/Ptafr/Ptger4/Pycard/Slamf9/Thbs1/Tlr4/Tmem106a/Trem2/Tyrobp",36
"GO:0072677","eosinophil migration","16/744","26/28832",0.615384615384615,23.8478081058726,18.9690530437395,1.3778068399551e-19,5.81204851987727e-17,3.25355790627994e-17,"Adam8/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl7/Ccl8/Ccr3/Cd300a/Epx/Il4/Lgals3/Ptger4",16
"GO:0002366","leukocyte activation involved in immune response","45/744","341/28832",0.131964809384164,5.11399110774761,12.437772372066,2.6785013435713e-19,1.04296721547369e-16,5.83848228088578e-17,"Adora2b/Adora3/Batf/Bcl3/Brd4/Ccl3/Ccr2/Cd300a/Cd40/Cd84/Clec7a/Cplx2/Fcer1g/Fgr/Gadd45g/Gapt/Gata2/Hmox1/Ifng/Il10/Il13/Il13ra2/Il21/Il33/Il4/Il6/Irf4/Itgam/Lgals1/Lgals3/Lilrb4a/Malt1/Pglyrp1/Ptafr/Ptgdr/Ptger4/Pycard/Relb/Rora/Slfn2/Spi1/Tfrc/Tlr4/Trem2/Tyrobp",45
"GO:0032680","regulation of tumor necrosis factor production","35/744","200/28832",0.175,6.78172043010753,13.3537166155172,2.9914032232205e-19,1.08160593685301e-16,6.05478005782677e-17,"Acp5/Akap12/Arg2/Bcl3/Ccl2/Ccl3/Ccl4/Ccr2/Ccr5/Cd14/Cd209b/Cd300ld/Cd84/Clec4a2/Clec4a3/Clec7a/Cyba/Fcer1g/Fcgr2b/Ifng/Igf1/Il10/Il1a/Il33/Il4/Il6/Lilrb4a/Ptafr/Ptger4/Pycard/Thbs1/Tlr4/Tmem106a/Trem2/Tyrobp",35
"GO:0002263","cell activation involved in immune response","45/744","345/28832",0.130434782608696,5.054698457223,12.3310671900946,4.26387825540619e-19,1.43891678192441e-16,8.054989658634e-17,"Adora2b/Adora3/Batf/Bcl3/Brd4/Ccl3/Ccr2/Cd300a/Cd40/Cd84/Clec7a/Cplx2/Fcer1g/Fgr/Gadd45g/Gapt/Gata2/Hmox1/Ifng/Il10/Il13/Il13ra2/Il21/Il33/Il4/Il6/Irf4/Itgam/Lgals1/Lgals3/Lilrb4a/Malt1/Pglyrp1/Ptafr/Ptgdr/Ptger4/Pycard/Relb/Rora/Slfn2/Spi1/Tfrc/Tlr4/Trem2/Tyrobp",45
"GO:0070661","leukocyte proliferation","47/744","379/28832",0.12401055408971,4.8057423326808,12.1381043495484,5.48963029998579e-19,1.73678178615801e-16,9.72242418918537e-17,"Aif1/Arg1/Arg2/Ccl12/Ccr2/Cd209a/Cd209d/Cd209e/Cd300a/Cd40/Csf2rb/Efnb1/Fcgr2b/Gapt/Gja1/H2-Aa/Ifng/Igf1/Il10/Il13/Il1a/Il21/Il33/Il4/Il5/Il6/Itgam/Junb/Lgals3/Lilrb4a/Malt1/Nfix/Ocstamp/Pdcd1lg2/Pycard/Sftpd/Slfn2/Tarm1/Tfrc/Tlr4/Tnfrsf4/Tnfrsf9/Tnfsf11/Tnfsf13b/Trem2/Tyrobp/Vcam1",47
"GO:0002685","regulation of leukocyte migration","38/744","257/28832",0.147859922178988,5.72996945734488,12.3961747849059,3.48619045972192e-18,9.89364687277564e-16,5.53841780480194e-16,"Adam8/Adora3/Adtrp/Aif1/Bdkrb1/C3ar1/Ccl1/Ccl12/Ccl2/Ccl20/Ccl24/Ccl3/Ccl7/Ccr1/Ccr2/Cd200r1/Cd300a/Cxcl10/F7/Il1a/Il33/Il4/Lgals3/Lgmn/Mmp28/Pla2g7/Ptafr/Ptger4/Pycard/S100a14/Sele/Selp/Slamf8/Spi1/St3gal4/Thbs1/Tnfaip6/Trem2",38
"GO:0071674","mononuclear cell migration","36/744","229/28832",0.157205240174672,6.09212565150021,12.5911956499542,3.51808857585859e-18,9.89364687277564e-16,5.53841780480194e-16,"Adam8/Adtrp/Aif1/C3ar1/Ccl1/Ccl12/Ccl2/Ccl20/Ccl3/Ccl7/Ccr1/Ccr2/Cd200r1/Ch25h/Cxcl10/Cxcl11/Cxcl16/Cyp7b1/Flt1/Gpr35/Il4/Lgals3/Lgmn/Mcoln2/Mmp28/Pla2g7/Pycard/Retnlg/S100a14/S1pr1/Slamf8/Slamf9/Spi1/Thbs1/Tnfsf11/Trem2",36
"GO:0002697","regulation of immune effector process","52/744","485/28832",0.107216494845361,4.15492739164173,11.4041415385668,4.39207549137636e-18,1.17014137564985e-15,6.55039735334358e-16,"Acp5/Adora2b/Adora3/Arg1/Brd4/C3/Casp4/Ccl2/Ccr2/Cd300a/Cd40/Cd84/Cfp/Clec7a/Cxcl1/Cxcl5/Epx/Fcer1g/Fcgr2b/Ffar2/Fgr/Gata2/Hmox1/Ifng/Il10/Il13/Il13ra2/Il21/Il33/Il4/Il5/Il6/Itgam/Lgals1/Lgals3/Lilrb4a/Litaf/Malt1/Pglyrp1/Ppl/Prg2/Ptafr/Pycard/Scimp/Slamf8/Spi1/Tfrc/Tlr4/Tnfrsf4/Trem2/Tril/Tyrobp",52
"GO:0050727","regulation of inflammatory response","47/744","407/28832",0.115479115479115,4.47512615254551,11.4914135793151,9.84198010433441e-18,2.49100516440704e-15,1.39445318109833e-15,"Acp5/Adam8/Adora2b/Adora3/Brd4/C3/Casp4/Ccl1/Ccl24/Ccl3/Ccr2/Ccr5/Cd200r1/Ctss/Duoxa1/Fancd2/Fcer1g/Fcgr2b/Ffar2/Gpx1/Gpx2/Ifng/Igf1/Il10/Il13/Il1rl1/Il33/Il4/Il6/Lgals1/Metrnl/Nr1d1/Osm/Pbk/Pglyrp1/Ppara/Ptger4/Ptges/Pycard/Rora/Slamf8/Socs3/Tlr4/Tnc/Tnfaip6/Tnfsf11/Trem2",47
"GO:0050867","positive regulation of cell activation","46/744","401/28832",0.114713216957606,4.44544552597002,11.3077817893716,2.86914836725683e-17,6.91601382621623e-15,3.87155258378716e-15,"Acta2/Adam8/Aif1/Brd4/Ccl2/Ccr2/Cd209d/Cd209e/Cd300lb/Cd40/Clec7a/Efnb1/Efnb2/Foxo3/H2-Aa/Icos/Ifng/Igf1/Il10/Il13/Il1a/Il1rl1/Il21/Il33/Il4/Il5/Il6/Lgals1/Lilrb4a/Malt1/Pdcd1lg2/Pycard/Selp/Smarca2/Socs1/Spi1/Tfrc/Thbs1/Tlr4/Tnfrsf4/Tnfsf11/Tnfsf13b/Trem2/Tyrobp/Vcam1/Zfp609",46
"GO:0002573","myeloid leukocyte differentiation","39/744","295/28832",0.132203389830508,5.12323674138874,11.5851332707551,6.40835275864004e-17,1.47450371201072e-14,8.25420364892774e-15,"Adam8/Batf/Batf3/C1qc/Car2/Ccl3/Ccl9/Ccr1/Cebpe/Dcstamp/Fam20c/Fcer1g/Gata2/Ifng/Il1rl1/Il33/Il4/Il5/Irf4/Itgam/Junb/Lif/Lilrb4a/Mafb/Nfix/Nme1/Nme2/Nrros/Ocstamp/Relb/Socs1/Spi1/Tfrc/Tlr4/Tnfaip6/Tnfrsf11b/Tnfsf11/Trem2/Tyrobp",39
"GO:0002696","positive regulation of leukocyte activation","44/744","377/28832",0.116710875331565,4.52286015801033,11.2057956064301,7.48176676967115e-17,1.64663927774241e-14,9.21781059219896e-15,"Adam8/Aif1/Brd4/Ccl2/Ccr2/Cd209d/Cd209e/Cd300lb/Cd40/Clec7a/Efnb1/Efnb2/Foxo3/H2-Aa/Icos/Ifng/Igf1/Il10/Il13/Il1a/Il1rl1/Il21/Il33/Il4/Il5/Il6/Lgals1/Lilrb4a/Malt1/Pdcd1lg2/Pycard/Smarca2/Socs1/Spi1/Tfrc/Thbs1/Tlr4/Tnfrsf4/Tnfsf11/Tnfsf13b/Trem2/Tyrobp/Vcam1/Zfp609",44
"GO:0022409","positive regulation of cell-cell adhesion","41/744","334/28832",0.122754491017964,4.75706651213702,11.2401171703796,1.45643608365641e-16,3.07186643977865e-14,1.71961663912415e-14,"Adam8/Aif1/Brd4/Ccl2/Ccr2/Ccr5/Cd209d/Cd209e/Efnb1/Efnb2/Emilin2/Foxo3/H2-Aa/Has2/Icos/Ifng/Igf1/Il1a/Il21/Il4/Il6/Lgals1/Lilrb4a/Malt1/Myo10/Pdcd1lg2/Ptafr/Ptpru/Pycard/Rap1gap/Sele/Selp/Smarca2/Socs1/St3gal4/Tfrc/Tjp1/Tnfsf11/Tnfsf13b/Vcam1/Zfp609",41
"GO:0070663","regulation of leukocyte proliferation","38/744","287/28832",0.132404181184669,5.13101794612416,11.4469271510593,1.5318158504562e-16,3.10162073400371e-14,1.73627295554867e-14,"Aif1/Arg1/Arg2/Ccl12/Ccr2/Cd209a/Cd209d/Cd209e/Cd300a/Cd40/Csf2rb/Efnb1/Fcgr2b/H2-Aa/Ifng/Igf1/Il10/Il13/Il1a/Il21/Il33/Il4/Il5/Il6/Lgals3/Lilrb4a/Ocstamp/Pdcd1lg2/Pycard/Sftpd/Tarm1/Tfrc/Tlr4/Tnfrsf4/Tnfrsf9/Tnfsf13b/Tyrobp/Vcam1",38
"GO:0002237","response to molecule of bacterial origin","50/744","495/28832",0.101010101010101,3.91441294667101,10.6446813297424,2.28511771447501e-16,4.39519805206792e-14,2.46041156109856e-14,"Ace/Acp5/Akap12/AY761185/Bdkrb1/Bmp6/Casp4/Ccl2/Ccr5/Cd14/Cd300lb/Cd68/Cd84/Cebpe/Cldn1/Cxcl10/Cxcl15/Cxcl16/Cxcl2/Cxcl5/Efnb2/Fcgr2b/Gja1/Gpx1/Ifng/Il10/Il1a/Il6/Lilrb4a/Litaf/Ly86/Malt1/Mrc1/Ncf2/Notch1/Nr1d1/Pdcd1lg2/Ptafr/Ptger4/Ptgfr/Ptgir/Pycard/S100a14/Scimp/Slpi/Spi1/Tjp1/Tlr4/Tnip3/Trem2",50
"GO:0032496","response to lipopolysaccharide","49/744","477/28832",0.10272536687631,3.98088410991637,10.6842826406446,2.34433716724287e-16,4.39519805206792e-14,2.46041156109856e-14,"Ace/Acp5/Akap12/AY761185/Bdkrb1/Bmp6/Casp4/Ccl2/Ccr5/Cd14/Cd300lb/Cd68/Cd84/Cebpe/Cldn1/Cxcl10/Cxcl15/Cxcl16/Cxcl2/Cxcl5/Efnb2/Gja1/Gpx1/Ifng/Il10/Il1a/Il6/Lilrb4a/Litaf/Ly86/Malt1/Mrc1/Ncf2/Notch1/Nr1d1/Pdcd1lg2/Ptafr/Ptger4/Ptgfr/Ptgir/Pycard/S100a14/Scimp/Slpi/Spi1/Tjp1/Tlr4/Tnip3/Trem2",49
"GO:0070098","chemokine-mediated signaling pathway","21/744","76/28832",0.276315789473684,10.7079796264856,13.7920025095087,2.56849867076941e-16,4.64347866836956e-14,2.59939790289897e-14,"Ackr1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr1/Ccr2/Ccr3/Ccr5/Cxcl10/Cxcl11/Cxcr6/Gpr35/Trem2",21
"GO:0007159","leukocyte cell-cell adhesion","46/744","427/28832",0.107728337236534,4.17476266022009,10.7568154339033,3.26010869875969e-16,5.69057594245571e-14,3.18555811871546e-14,"Adam8/Adtrp/Aif1/Arg1/Arg2/Brd4/Ccl2/Ccr2/Cd209d/Cd209e/Cd300a/Efnb1/Efnb2/Foxo3/H2-Aa/Has2/Icos/Ifng/Igf1/Il1a/Il21/Il4/Il6/Itgam/Lgals1/Lgals3/Lilrb4a/Malt1/Olr1/Pdcd1lg2/Ppara/Ptafr/Pycard/Sele/Selp/Sftpd/Smarca2/Socs1/St3gal4/Tarm1/Tfrc/Thbs1/Tnfsf11/Tnfsf13b/Vcam1/Zfp609",46
"GO:0002444","myeloid leukocyte mediated immunity","26/744","130/28832",0.2,7.7505376344086,12.5548021041343,4.09479303820515e-16,6.90928078646482e-14,3.867783459245e-14,"Ace/Adora2b/Adora3/Arg1/C3/Ccl3/Ccr2/Cd300a/Cd300lb/Cd84/Cplx2/Cxcl1/Cxcl5/Fcer1g/Fcgr2b/Fgr/Gata2/Hmox1/Il13/Il13ra2/Il4/Itgam/Ptafr/Ptgdr/Spi1/Tyrobp",26
"GO:0002687","positive regulation of leukocyte migration","30/744","180/28832",0.166666666666667,6.45878136200717,11.9566741554755,4.36508606414281e-16,7.12776311506158e-14,3.99008885727417e-14,"Adam8/Adora3/Aif1/Bdkrb1/C3ar1/Ccl1/Ccl12/Ccl2/Ccl20/Ccl24/Ccl3/Ccl7/Ccr1/Ccr2/Cxcl10/F7/Il1a/Il4/Lgals3/Lgmn/Pla2g7/Ptafr/Ptger4/Pycard/S100a14/Sele/Selp/Spi1/Thbs1/Trem2",30
"GO:1903037","regulation of leukocyte cell-cell adhesion","43/744","387/28832",0.111111111111111,4.30585424133811,10.6559488510589,1.01555241623065e-15,1.60647697842486e-13,8.99298389635826e-14,"Adam8/Adtrp/Aif1/Arg1/Arg2/Brd4/Ccl2/Ccr2/Cd209d/Cd209e/Cd300a/Efnb1/Efnb2/Foxo3/H2-Aa/Has2/Icos/Ifng/Igf1/Il1a/Il21/Il4/Il6/Lgals1/Lgals3/Lilrb4a/Malt1/Pdcd1lg2/Ppara/Ptafr/Pycard/Sele/Selp/Sftpd/Smarca2/Socs1/St3gal4/Tarm1/Tfrc/Tnfsf11/Tnfsf13b/Vcam1/Zfp609",43
"GO:0071621","granulocyte chemotaxis","26/744","136/28832",0.191176470588235,7.40860215053763,12.1920854026143,1.29868293874967e-15,1.99210091998511e-13,1.11516889030753e-13,"C3ar1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl7/Ccl8/Ccr3/Cxcl1/Cxcl10/Cxcl15/Cxcl2/Cxcl3/Cxcl5/Fcer1g/Ifng/Il4/Itgam/Lgals3/S100a14/Spp1/Thbs1/Tnfaip6",26
"GO:0002275","myeloid cell activation involved in immune response","24/744","115/28832",0.208695652173913,8.0875175315568,12.394512358636,2.0188704485134e-15,3.00574182658084e-13,1.68260038619136e-13,"Adora2b/Adora3/Ccl3/Ccr2/Cd300a/Cd84/Cplx2/Fcer1g/Fgr/Gata2/Hmox1/Ifng/Il13/Il13ra2/Il33/Il4/Itgam/Lilrb4a/Ptafr/Ptgdr/Pycard/Spi1/Trem2/Tyrobp",24
"GO:0032653","regulation of interleukin-10 production","19/744","65/28832",0.292307692307692,11.3277088502895,13.5665459595301,2.14704426302309e-15,3.1052394455494e-13,1.73829869355133e-13,"Bcl3/Cd84/Clec7a/Epx/Fcer1g/Fcgr2b/Il13/Il21/Il4/Il6/Irf4/Lilrb4a/Pdcd1lg2/Prg2/Ptger4/Pycard/Tlr4/Trem2/Tyrobp",19
"GO:0002886","regulation of myeloid leukocyte mediated immunity","20/744","75/28832",0.266666666666667,10.3340501792115,13.1730059162835,2.82841656819809e-15,3.9770679633941e-13,2.22634426947055e-13,"Adora2b/Adora3/Arg1/C3/Ccr2/Cd300a/Cd84/Cxcl1/Cxcl5/Fcer1g/Fgr/Gata2/Hmox1/Il13/Il13ra2/Il4/Itgam/Ptafr/Spi1/Tyrobp",20
"GO:1990868","response to chemokine","21/744","87/28832",0.241379310344828,9.3540971449759,12.7008826546742,5.1310031144448e-15,6.83503625403146e-13,3.82622171304304e-13,"Ackr1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr1/Ccr2/Ccr3/Ccr5/Cxcl10/Cxcl11/Cxcr6/Gpr35/Trem2",21
"GO:1990869","cellular response to chemokine","21/744","87/28832",0.241379310344828,9.3540971449759,12.7008826546742,5.1310031144448e-15,6.83503625403146e-13,3.82622171304304e-13,"Ackr1/Ccl1/Ccl11/Ccl12/Ccl2/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr1/Ccr2/Ccr3/Ccr5/Cxcl10/Cxcl11/Cxcr6/Gpr35/Trem2",21
"GO:0032613","interleukin-10 production","19/744","68/28832",0.279411764705882,10.8279569892473,13.2053214080912,5.43198343326607e-15,7.05043593312637e-13,3.94680145812477e-13,"Bcl3/Cd84/Clec7a/Epx/Fcer1g/Fcgr2b/Il13/Il21/Il4/Il6/Irf4/Lilrb4a/Pdcd1lg2/Prg2/Ptger4/Pycard/Tlr4/Trem2/Tyrobp",19
"GO:0046651","lymphocyte proliferation","39/744","337/28832",0.115727002967359,4.48473245907916,10.4726351353642,5.84496662176035e-15,7.39680525983772e-13,4.14069740678391e-13,"Aif1/Arg1/Arg2/Ccr2/Cd209a/Cd209d/Cd209e/Cd300a/Cd40/Efnb1/Fcgr2b/Gapt/Gja1/H2-Aa/Ifng/Igf1/Il10/Il13/Il1a/Il21/Il4/Il5/Il6/Itgam/Lgals3/Lilrb4a/Malt1/Pdcd1lg2/Pycard/Sftpd/Slfn2/Tarm1/Tfrc/Tlr4/Tnfrsf4/Tnfrsf9/Tnfsf13b/Tyrobp/Vcam1",39
"GO:0006959","humoral immune response","38/744","322/28832",0.118012422360248,4.57329860415414,10.4943259597024,6.94001659349128e-15,8.56838146250069e-13,4.79654035165045e-13,"AY761185/Bcl3/C1qa/C1qb/C1qc/C3/Ccl1/Ccl11/Ccl12/Ccl17/Ccl2/Ccl20/Ccl24/Ccl3/Ccl4/Ccl6/Ccl7/Ccl8/Ccl9/Ccr2/Cfi/Cfp/Cxcl10/Cxcl11/Cxcl15/Cxcl5/Fcgr2b/Gapdh/Ifng/Lgals3/Notch1/Pglyrp1/Ppl/Rgcc/Slpi/Sprr2a1/Trem2/Wfdc17",38
"GO:0051251","positive regulation of lymphocyte activation","39/744","340/28832",0.114705882352941,4.44516129032258,10.4002424133353,7.84137325363034e-15,9.34429702623894e-13,5.23089429903621e-13,"Adam8/Aif1/Brd4/Ccl2/Ccr2/Cd209d/Cd209e/Cd40/Clec7a/Efnb1/Efnb2/Foxo3/H2-Aa/Icos/Ifng/Igf1/Il10/Il13/Il1a/Il21/Il4/Il5/Il6/Lgals1/Lilrb4a/Malt1/Pdcd1lg2/Pycard/Smarca2/Socs1/Spi1/Tfrc/Tlr4/Tnfrsf4/Tnfsf11/Tnfsf13b/Tyrobp/Vcam1/Zfp609",39
"GO:0002700","regulation of production of molecular mediator of immune response","31/744","214/28832",0.144859813084112,5.61370716510903,11.0253703264412,7.93766835496393e-15,9.34429702623894e-13,5.23089429903621e-13,"Acp5/Arg1/Casp4/Ccr2/Cd40/Clec7a/Epx/Fcer1g/Fcgr2b/Ffar2/Hmox1/Ifng/Il10/Il13/Il13ra2/Il21/Il33/Il4/Il5/Il6/Lilrb4a/Litaf/Malt1/Ppl/Prg2/Pycard/Scimp/Tfrc/Tlr4/Tnfrsf4/Tril",31
"GO:0050670","regulation of lymphocyte proliferation","34/744","260/28832",0.130769230769231,5.06765922249793,10.7230128792129,8.91431014922602e-15,1.02555086307687e-12,5.74098634490824e-13,"Aif1/Arg1/Arg2/Ccr2/Cd209a/Cd209d/Cd209e/Cd300a/Cd40/Efnb1/Fcgr2b/H2-Aa/Ifng/Igf1/Il10/Il13/Il1a/Il21/Il4/Il5/Il6/Lgals3/Lilrb4a/Pdcd1lg2/Pycard/Sftpd/Tarm1/Tfrc/Tlr4/Tnfrsf4/Tnfrsf9/Tnfsf13b/Tyrobp/Vcam1",34
